GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project-management-app,com.api.project.management.jpa.model,ParentTask,0,24,0,0,0,5,0,7,0,7
project-management-app,com.api.project.management.jpa.model,User,0,45,0,0,0,8,0,13,0,13
project-management-app,com.api.project.management.jpa.model,Project,0,38,0,0,0,7,0,11,0,11
project-management-app,com.api.project.management.jpa.model,Task,0,59,0,0,0,10,0,17,0,17
project-management-app,com.api.project.management.model,ProjectDetails,3,49,0,0,1,8,1,14,1,14
project-management-app,com.api.project.management.model,UserDetails,0,45,0,0,0,8,0,13,0,13
project-management-app,com.api.project.management.model,TaskDetails,0,66,0,0,0,11,0,19,0,19
project-management-app,com.api.project.management.model,ParentTaskDetails,0,24,0,0,0,5,0,7,0,7
project-management-app,com.api.project.management.request.converter,TaskDetailsToTaskConverter,0,10,0,0,0,2,0,2,0,2
project-management-app,com.api.project.management.request.converter,ParentTaskDetailsToParentTaskConverter,0,9,0,0,0,2,0,2,0,2
project-management-app,com.api.project.management.request.converter,UserDetailsToUserConverter,0,60,0,10,0,14,0,7,0,2
project-management-app,com.api.project.management.request.converter,ProjectDetailsToProjectConverter,0,8,0,0,0,2,0,2,0,2
project-management-app,com.api.project.management.exception,ProjectCreationException,0,15,0,0,0,2,0,1,0,1
project-management-app,com.api.project.management.exception,TaskNotFoundException,0,16,0,0,0,2,0,1,0,1
project-management-app,com.api.project.management.exception,UserCreationException,0,15,0,0,0,2,0,1,0,1
project-management-app,com.api.project.management.exception,ProjectNotFoundException,0,16,0,0,0,2,0,1,0,1
project-management-app,com.api.project.management.exception,UserNotFoundException,0,16,0,0,0,2,0,1,0,1
project-management-app,com.api.project.management.exception,TaskCreationException,0,15,0,0,0,2,0,1,0,1
project-management-app,com.api.project.management.exception,ParentTaskCreationException,0,15,0,0,0,2,0,1,0,1
project-management-app,com.api.project.management.exception,ParentTaskNotFoundException,0,16,0,0,0,2,0,1,0,1
project-management-app,com.api.project.management.util,ResponseConversionUtils,0,302,0,52,0,63,0,34,0,8
project-management-app,com.api.project.management.util,RequestConversionUtils,0,147,0,32,0,37,0,20,0,4
project-management-app,com.api.project.management.resource,UserResource,0,103,0,0,0,16,0,8,0,8
project-management-app,com.api.project.management.resource,ParentTaskResource,0,103,0,0,0,18,0,8,0,8
project-management-app,com.api.project.management.resource,TaskResource,0,103,0,0,0,16,0,8,0,8
project-management-app,com.api.project.management.resource,ProjectsResource,0,103,0,0,0,16,0,8,0,8
project-management-app,com.api.project.management.config,CorsConfiguration.new WebMvcConfigurerAdapter() {...},44,0,0,0,4,0,2,0,2,0
project-management-app,com.api.project.management.config,CorsConfiguration,8,0,0,0,2,0,2,0,2,0
project-management-app,com.api.project.management.config,LocalDateAttributeConverter,0,17,0,4,0,3,0,5,0,3
project-management-app,com.api.project.management.config,WebConfig,0,44,0,0,0,10,0,2,0,2
project-management-app,com.api.project.management.response.converter,ParentTaskToParentTaskDetailsConverter,0,9,0,0,0,2,0,2,0,2
project-management-app,com.api.project.management.response.converter,TaskToTaskDetailsConverter,0,11,0,0,0,2,0,2,0,2
project-management-app,com.api.project.management.response.converter,UserToUserDetailsConverter,0,10,0,0,0,2,0,2,0,2
project-management-app,com.api.project.management.response.converter,ProjectToProjectDetailsConverter,0,10,0,0,0,2,0,2,0,2
project-management-app,com.api.project.management,ProjectManagementApplication,8,0,0,0,3,0,2,0,2,0
project-management-app,com.api.project.management.service.impl,ProjectServiceImpl,0,370,0,36,0,80,0,32,0,14
project-management-app,com.api.project.management.service.impl,UserServiceImpl,0,162,0,10,0,34,0,14,0,9
project-management-app,com.api.project.management.service.impl,ParentTaskServiceImpl,0,173,0,12,0,37,0,16,0,10
project-management-app,com.api.project.management.service.impl,TaskServiceImpl,0,312,0,26,0,69,0,25,0,12
